Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16640612k(9345172k free), swap 16640612k(7550344k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T20:54:51.484+0800: 4.484: [GC (Allocation Failure) 2020-10-27T20:54:51.484+0800: 4.484: [DefNew: 629120K->69886K(629120K), 0.0184367 secs] 923955K->449183K(2027264K), 0.0184972 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:51.674+0800: 4.674: [GC (Allocation Failure) 2020-10-27T20:54:51.674+0800: 4.674: [DefNew: 628867K->69887K(629120K), 0.0180506 secs] 1008164K->529557K(2027264K), 0.0181042 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:51.856+0800: 4.855: [GC (Allocation Failure) 2020-10-27T20:54:51.856+0800: 4.855: [DefNew: 629119K->69887K(629120K), 0.0178035 secs] 1088789K->607207K(2027264K), 0.0178646 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.037+0800: 5.037: [GC (Allocation Failure) 2020-10-27T20:54:52.037+0800: 5.037: [DefNew: 629119K->69887K(629120K), 0.0172455 secs] 1166439K->681732K(2027264K), 0.0172987 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.211+0800: 5.211: [GC (Allocation Failure) 2020-10-27T20:54:52.211+0800: 5.211: [DefNew: 629119K->69887K(629120K), 0.0179676 secs] 1240964K->757835K(2027264K), 0.0180269 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.380+0800: 5.379: [GC (Allocation Failure) 2020-10-27T20:54:52.380+0800: 5.379: [DefNew: 629119K->69887K(629120K), 0.0172440 secs] 1317067K->832274K(2027264K), 0.0172986 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.547+0800: 5.546: [GC (Allocation Failure) 2020-10-27T20:54:52.547+0800: 5.546: [DefNew: 629119K->69887K(629120K), 0.0194683 secs] 1391506K->911320K(2027264K), 0.0195205 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.710+0800: 5.709: [GC (Allocation Failure) 2020-10-27T20:54:52.710+0800: 5.709: [DefNew: 629119K->69887K(629120K), 0.0174109 secs] 1470552K->987325K(2027264K), 0.0174664 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:52.844+0800: 5.844: [GC (Allocation Failure) 2020-10-27T20:54:52.844+0800: 5.844: [DefNew: 629119K->69887K(629120K), 0.0174376 secs] 1546557K->1061966K(2027264K), 0.0174930 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.009+0800: 6.008: [GC (Allocation Failure) 2020-10-27T20:54:53.009+0800: 6.008: [DefNew: 629119K->69888K(629120K), 0.0179252 secs] 1621198K->1139636K(2027264K), 0.0179830 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.184+0800: 6.184: [GC (Allocation Failure) 2020-10-27T20:54:53.184+0800: 6.184: [DefNew: 629120K->69887K(629120K), 0.0173915 secs] 1698868K->1213321K(2027264K), 0.0174423 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.330+0800: 6.330: [GC (Allocation Failure) 2020-10-27T20:54:53.330+0800: 6.330: [DefNew: 629119K->69887K(629120K), 0.0168516 secs] 1772553K->1282379K(2027264K), 0.0169071 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.475+0800: 6.474: [GC (Allocation Failure) 2020-10-27T20:54:53.475+0800: 6.474: [DefNew: 629119K->69887K(629120K), 0.0172781 secs] 1841611K->1356311K(2027264K), 0.0173303 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.657+0800: 6.656: [GC (Allocation Failure) 2020-10-27T20:54:53.657+0800: 6.656: [DefNew: 629119K->69887K(629120K), 0.0199603 secs] 1915543K->1436009K(2027264K), 0.0200144 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.821+0800: 6.820: [GC (Allocation Failure) 2020-10-27T20:54:53.821+0800: 6.820: [DefNew: 629119K->629119K(629120K), 0.0000130 secs]2020-10-27T20:54:53.821+0800: 6.820: [Tenured: 1366121K->243152K(1398144K), 0.0247154 secs] 1995241K->243152K(2027264K), [Metaspace: 2707K->2707K(1056768K)], 0.0247931 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:53.976+0800: 6.976: [GC (Allocation Failure) 2020-10-27T20:54:53.976+0800: 6.976: [DefNew: 559232K->69886K(629120K), 0.0160280 secs] 802384K->373336K(2027264K), 0.0160856 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:54.148+0800: 7.147: [GC (Allocation Failure) 2020-10-27T20:54:54.148+0800: 7.147: [DefNew: 629118K->69887K(629120K), 0.0173438 secs] 932568K->446107K(2027264K), 0.0174000 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:54.320+0800: 7.320: [GC (Allocation Failure) 2020-10-27T20:54:54.320+0800: 7.320: [DefNew: 629019K->69887K(629120K), 0.0186698 secs] 1005239K->527890K(2027264K), 0.0187246 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:54.515+0800: 7.514: [GC (Allocation Failure) 2020-10-27T20:54:54.515+0800: 7.514: [DefNew: 629119K->69887K(629120K), 0.0171565 secs] 1087122K->599511K(2027264K), 0.0172116 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:54.681+0800: 7.681: [GC (Allocation Failure) 2020-10-27T20:54:54.681+0800: 7.681: [DefNew: 629119K->69887K(629120K), 0.0170635 secs] 1158743K->671419K(2027264K), 0.0171185 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:54.843+0800: 7.842: [GC (Allocation Failure) 2020-10-27T20:54:54.843+0800: 7.842: [DefNew: 629119K->69887K(629120K), 0.0190780 secs] 1230651K->757313K(2027264K), 0.0191338 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.036+0800: 8.036: [GC (Allocation Failure) 2020-10-27T20:54:55.036+0800: 8.036: [DefNew: 629119K->69887K(629120K), 0.0174026 secs] 1316545K->830444K(2027264K), 0.0174594 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.238+0800: 8.238: [GC (Allocation Failure) 2020-10-27T20:54:55.238+0800: 8.238: [DefNew: 629119K->69887K(629120K), 0.0175666 secs] 1389676K->905806K(2027264K), 0.0176214 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.409+0800: 8.409: [GC (Allocation Failure) 2020-10-27T20:54:55.409+0800: 8.409: [DefNew: 629119K->69887K(629120K), 0.0175197 secs] 1465038K->981032K(2027264K), 0.0175712 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.602+0800: 8.602: [GC (Allocation Failure) 2020-10-27T20:54:55.602+0800: 8.602: [DefNew: 629119K->69887K(629120K), 0.0185402 secs] 1540264K->1062171K(2027264K), 0.0185933 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.759+0800: 8.758: [GC (Allocation Failure) 2020-10-27T20:54:55.759+0800: 8.758: [DefNew: 629119K->69887K(629120K), 0.0182314 secs] 1621403K->1142336K(2027264K), 0.0182854 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:55.953+0800: 8.953: [GC (Allocation Failure) 2020-10-27T20:54:55.953+0800: 8.953: [DefNew: 629119K->69887K(629120K), 0.0189335 secs] 1701568K->1227309K(2027264K), 0.0189899 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
