Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16640612k(9261712k free), swap 16640612k(7492356k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T21:12:41.000+0800: 0.634: [GC (Allocation Failure) 2020-10-27T21:12:41.000+0800: 0.634: [DefNew: 559232K->69888K(629120K), 0.0503376 secs] 559232K->119090K(2027264K), 0.0504876 secs] [Times: user=0.02 sys=0.03, real=0.05 secs] 
2020-10-27T21:12:41.484+0800: 1.118: [GC (Allocation Failure) 2020-10-27T21:12:41.484+0800: 1.118: [DefNew: 629120K->69887K(629120K), 0.0603712 secs] 678322K->195173K(2027264K), 0.0604226 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2020-10-27T21:12:41.926+0800: 1.560: [GC (Allocation Failure) 2020-10-27T21:12:41.926+0800: 1.560: [DefNew: 629119K->69885K(629120K), 0.0383513 secs] 754405K->267556K(2027264K), 0.0384068 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2020-10-27T21:12:42.385+0800: 2.019: [GC (Allocation Failure) 2020-10-27T21:12:42.385+0800: 2.019: [DefNew: 629117K->69887K(629120K), 0.0387906 secs] 826788K->340931K(2027264K), 0.0388435 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T21:12:42.815+0800: 2.450: [GC (Allocation Failure) 2020-10-27T21:12:42.815+0800: 2.450: [DefNew: 629119K->69887K(629120K), 0.0394378 secs] 900163K->416458K(2027264K), 0.0394900 secs] [Times: user=0.00 sys=0.03, real=0.04 secs] 
2020-10-27T21:12:43.267+0800: 2.902: [GC (Allocation Failure) 2020-10-27T21:12:43.267+0800: 2.902: [DefNew: 629119K->69884K(629120K), 0.0402615 secs] 975690K->493935K(2027264K), 0.0403137 secs] [Times: user=0.02 sys=0.01, real=0.04 secs] 
2020-10-27T21:12:43.694+0800: 3.329: [GC (Allocation Failure) 2020-10-27T21:12:43.695+0800: 3.329: [DefNew: 629116K->69887K(629120K), 0.0407322 secs] 1053167K->571549K(2027264K), 0.0407878 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T21:12:44.142+0800: 3.776: [GC (Allocation Failure) 2020-10-27T21:12:44.142+0800: 3.776: [DefNew: 629119K->69887K(629120K), 0.0395719 secs] 1130781K->646997K(2027264K), 0.0396269 secs] [Times: user=0.02 sys=0.01, real=0.04 secs] 
2020-10-27T21:12:44.585+0800: 4.219: [GC (Allocation Failure) 2020-10-27T21:12:44.585+0800: 4.219: [DefNew: 629119K->69887K(629120K), 0.0369052 secs] 1206229K->714911K(2027264K), 0.0369609 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2020-10-27T21:12:44.992+0800: 4.626: [GC (Allocation Failure) 2020-10-27T21:12:44.992+0800: 4.626: [DefNew: 629119K->69887K(629120K), 0.0408919 secs] 1274143K->792981K(2027264K), 0.0409447 secs] [Times: user=0.00 sys=0.05, real=0.04 secs] 
2020-10-27T21:12:45.462+0800: 5.097: [GC (Allocation Failure) 2020-10-27T21:12:45.462+0800: 5.097: [DefNew: 629119K->69887K(629120K), 0.0411200 secs] 1352213K->871794K(2027264K), 0.0411732 secs] [Times: user=0.02 sys=0.03, real=0.04 secs] 
